iform	iclass	category	extension	isa_set	mode	bytes	xed_iform	xed_length	decoder_contract	operand_contract	legality_contract	formatter_contract	evidence_state	blocker
CCMPF_GPR8i8_IMM8_DFV_APX_N3	CCMPF	APX	APXEVEX	APX_F_N3	64	62 f4 7c 0b 80 f8 00	CCMPF_GPR8i8_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPF_GPR8i8_MEMi8_DFV_APX_N3	CCMPF	APX	APXEVEX	APX_F_N3	64	62 f4 78 0b 3a 00	CCMPF_GPR8i8_MEMi8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPF_GPRv_IMMz_DFV_APX_N3	CCMPF	APX	APXEVEX	APX_F_N3	64	62 f4 7d 0b 81 f8 00 00	CCMPF_GPRv_IMMz_DFV_APX_N3	8	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPF_GPRv_MEMv_DFV_APX_N3	CCMPF	APX	APXEVEX	APX_F_N3	64	62 f4 78 0b 3b 00	CCMPF_GPRv_MEMv_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPF_MEMi8_GPR8i8_DFV_APX_N3	CCMPF	APX	APXEVEX	APX_F_N3	64	62 f4 78 0b 38 00	CCMPF_MEMi8_GPR8i8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPF_MEMi8_IMM8_DFV_APX_N3	CCMPF	APX	APXEVEX	APX_F_N3	64	62 f4 78 0b 80 38 00	CCMPF_MEMi8_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPF_MEMv_GPRv_DFV_APX_N3	CCMPF	APX	APXEVEX	APX_F_N3	64	62 f4 78 0b 39 00	CCMPF_MEMv_GPRv_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPF_MEMv_IMM8_DFV_APX_N3	CCMPF	APX	APXEVEX	APX_F_N3	64	62 f4 79 0b 83 38 00	CCMPF_MEMv_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPF_MEMv_IMMz_DFV_APX_N3	CCMPF	APX	APXEVEX	APX_F_N3	64	62 f4 79 0b 81 38 00 00	CCMPF_MEMv_IMMz_DFV_APX_N3	8	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPLE_GPR8i8_GPR8i8_DFV_APX_N3	CCMPLE	APX	APXEVEX	APX_F_N3	64	62 f4 7c 0e 38 c0	CCMPLE_GPR8i8_GPR8i8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPLE_GPR8i8_IMM8_DFV_APX_N3	CCMPLE	APX	APXEVEX	APX_F_N3	64	62 f4 7c 0e 80 f8 00	CCMPLE_GPR8i8_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPLE_GPR8i8_MEMi8_DFV_APX_N3	CCMPLE	APX	APXEVEX	APX_F_N3	64	62 f4 78 0e 3a 00	CCMPLE_GPR8i8_MEMi8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPLE_GPRv_IMMz_DFV_APX_N3	CCMPLE	APX	APXEVEX	APX_F_N3	64	62 f4 7c 0e 81 f8 00 00 00 00	CCMPLE_GPRv_IMMz_DFV_APX_N3	10	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
