iform	iclass	category	extension	isa_set	mode	bytes	xed_iform	xed_length	decoder_contract	operand_contract	legality_contract	formatter_contract	evidence_state	blocker
VCVTPH2HF8_XMMhf8_MASKmskw_YMMf16_AVX512	VCVTPH2HF8	CONVERT	AVX512EVEX	AVX512_FP8_CONVERT_256	64	62 f5 7e 29 18 c0	VCVTPH2HF8_XMMhf8_MASKmskw_YMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2HF8_YMMhf8_MASKmskw_MEMf16_AVX512_VL512	VCVTPH2HF8	CONVERT	AVX512EVEX	AVX512_FP8_CONVERT_512	64	62 f5 7e 49 18 00	VCVTPH2HF8_YMMhf8_MASKmskw_MEMf16_AVX512_VL512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2HF8_YMMhf8_MASKmskw_ZMMf16_AVX512	VCVTPH2HF8	CONVERT	AVX512EVEX	AVX512_FP8_CONVERT_512	64	62 f5 7e 49 18 c0	VCVTPH2HF8_YMMhf8_MASKmskw_ZMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2IBS_XMMi8_MASKmskw_MEMf16_AVX512	VCVTPH2IBS	CONVERT	AVX512EVEX	AVX512_SAT_CVT_128	64	62 f5 7c 09 69 00	VCVTPH2IBS_XMMi8_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2IBS_XMMi8_MASKmskw_XMMf16_AVX512	VCVTPH2IBS	CONVERT	AVX512EVEX	AVX512_SAT_CVT_128	64	62 f5 7c 09 69 c0	VCVTPH2IBS_XMMi8_MASKmskw_XMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2IBS_YMMi8_MASKmskw_MEMf16_AVX512	VCVTPH2IBS	CONVERT	AVX512EVEX	AVX512_SAT_CVT_256	64	62 f5 7c 29 69 00	VCVTPH2IBS_YMMi8_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2IBS_YMMi8_MASKmskw_YMMf16_AVX512	VCVTPH2IBS	CONVERT	AVX512EVEX	AVX512_SAT_CVT_256	64	62 f5 7c 29 69 c0	VCVTPH2IBS_YMMi8_MASKmskw_YMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2IBS_ZMMi8_MASKmskw_MEMf16_AVX512	VCVTPH2IBS	CONVERT	AVX512EVEX	AVX512_SAT_CVT_512	64	62 f5 7c 49 69 00	VCVTPH2IBS_ZMMi8_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2IBS_ZMMi8_MASKmskw_ZMMf16_AVX512	VCVTPH2IBS	CONVERT	AVX512EVEX	AVX512_SAT_CVT_512	64	62 f5 7c 49 69 c0	VCVTPH2IBS_ZMMi8_MASKmskw_ZMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2IUBS_XMMu8_MASKmskw_MEMf16_AVX512	VCVTPH2IUBS	CONVERT	AVX512EVEX	AVX512_SAT_CVT_128	64	62 f5 7c 09 6b 00	VCVTPH2IUBS_XMMu8_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2IUBS_XMMu8_MASKmskw_XMMf16_AVX512	VCVTPH2IUBS	CONVERT	AVX512EVEX	AVX512_SAT_CVT_128	64	62 f5 7c 09 6b c0	VCVTPH2IUBS_XMMu8_MASKmskw_XMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2IUBS_YMMu8_MASKmskw_MEMf16_AVX512	VCVTPH2IUBS	CONVERT	AVX512EVEX	AVX512_SAT_CVT_256	64	62 f5 7c 29 6b 00	VCVTPH2IUBS_YMMu8_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2IUBS_YMMu8_MASKmskw_YMMf16_AVX512	VCVTPH2IUBS	CONVERT	AVX512EVEX	AVX512_SAT_CVT_256	64	62 f5 7c 29 6b c0	VCVTPH2IUBS_YMMu8_MASKmskw_YMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2IUBS_ZMMu8_MASKmskw_MEMf16_AVX512	VCVTPH2IUBS	CONVERT	AVX512EVEX	AVX512_SAT_CVT_512	64	62 f5 7c 49 6b 00	VCVTPH2IUBS_ZMMu8_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2IUBS_ZMMu8_MASKmskw_ZMMf16_AVX512	VCVTPH2IUBS	CONVERT	AVX512EVEX	AVX512_SAT_CVT_512	64	62 f5 7c 59 6b c0	VCVTPH2IUBS_ZMMu8_MASKmskw_ZMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2PD_XMMf64_MASKmskw_MEMf16_AVX512	VCVTPH2PD	CONVERT	AVX512EVEX	AVX512_FP16_128	64	62 f5 7c 09 5a 00	VCVTPH2PD_XMMf64_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2PD_XMMf64_MASKmskw_XMMf16_AVX512	VCVTPH2PD	CONVERT	AVX512EVEX	AVX512_FP16_128	64	62 f5 7c 09 5a c0	VCVTPH2PD_XMMf64_MASKmskw_XMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2PD_YMMf64_MASKmskw_MEMf16_AVX512	VCVTPH2PD	CONVERT	AVX512EVEX	AVX512_FP16_256	64	62 f5 7c 29 5a 00	VCVTPH2PD_YMMf64_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2PD_YMMf64_MASKmskw_XMMf16_AVX512	VCVTPH2PD	CONVERT	AVX512EVEX	AVX512_FP16_256	64	62 f5 7c 29 5a c0	VCVTPH2PD_YMMf64_MASKmskw_XMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2PD_ZMMf64_MASKmskw_MEMf16_AVX512	VCVTPH2PD	CONVERT	AVX512EVEX	AVX512_FP16_512	64	62 f5 7c 49 5a 00	VCVTPH2PD_ZMMf64_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2PD_ZMMf64_MASKmskw_XMMf16_AVX512	VCVTPH2PD	CONVERT	AVX512EVEX	AVX512_FP16_512	64	62 f5 7c 49 5a c0	VCVTPH2PD_ZMMf64_MASKmskw_XMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2PSX_XMMf32_MASKmskw_MEMf16_AVX512	VCVTPH2PSX	CONVERT	AVX512EVEX	AVX512_FP16_128	64	62 f6 7d 09 13 00	VCVTPH2PSX_XMMf32_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2PSX_XMMf32_MASKmskw_XMMf16_AVX512	VCVTPH2PSX	CONVERT	AVX512EVEX	AVX512_FP16_128	64	62 f6 7d 09 13 c0	VCVTPH2PSX_XMMf32_MASKmskw_XMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2PSX_YMMf32_MASKmskw_MEMf16_AVX512	VCVTPH2PSX	CONVERT	AVX512EVEX	AVX512_FP16_256	64	62 f6 7d 29 13 00	VCVTPH2PSX_YMMf32_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2PSX_YMMf32_MASKmskw_XMMf16_AVX512	VCVTPH2PSX	CONVERT	AVX512EVEX	AVX512_FP16_256	64	62 f6 7d 29 13 c0	VCVTPH2PSX_YMMf32_MASKmskw_XMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2PSX_ZMMf32_MASKmskw_MEMf16_AVX512	VCVTPH2PSX	CONVERT	AVX512EVEX	AVX512_FP16_512	64	62 f6 7d 49 13 00	VCVTPH2PSX_ZMMf32_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2PSX_ZMMf32_MASKmskw_YMMf16_AVX512	VCVTPH2PSX	CONVERT	AVX512EVEX	AVX512_FP16_512	64	62 f6 7d 59 13 c0	VCVTPH2PSX_ZMMf32_MASKmskw_YMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2QQ_XMMi64_MASKmskw_MEMf16_AVX512	VCVTPH2QQ	CONVERT	AVX512EVEX	AVX512_FP16_128	64	62 f5 7d 09 7b 00	VCVTPH2QQ_XMMi64_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2QQ_XMMi64_MASKmskw_XMMf16_AVX512	VCVTPH2QQ	CONVERT	AVX512EVEX	AVX512_FP16_128	64	62 f5 7d 09 7b c0	VCVTPH2QQ_XMMi64_MASKmskw_XMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2QQ_YMMi64_MASKmskw_MEMf16_AVX512	VCVTPH2QQ	CONVERT	AVX512EVEX	AVX512_FP16_256	64	62 f5 7d 29 7b 00	VCVTPH2QQ_YMMi64_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2QQ_YMMi64_MASKmskw_XMMf16_AVX512	VCVTPH2QQ	CONVERT	AVX512EVEX	AVX512_FP16_256	64	62 f5 7d 29 7b c0	VCVTPH2QQ_YMMi64_MASKmskw_XMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2QQ_ZMMi64_MASKmskw_MEMf16_AVX512	VCVTPH2QQ	CONVERT	AVX512EVEX	AVX512_FP16_512	64	62 f5 7d 49 7b 00	VCVTPH2QQ_ZMMi64_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2QQ_ZMMi64_MASKmskw_XMMf16_AVX512	VCVTPH2QQ	CONVERT	AVX512EVEX	AVX512_FP16_512	64	62 f5 7d 49 7b c0	VCVTPH2QQ_ZMMi64_MASKmskw_XMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2UDQ_XMMu32_MASKmskw_MEMf16_AVX512	VCVTPH2UDQ	CONVERT	AVX512EVEX	AVX512_FP16_128	64	62 f5 7c 09 79 00	VCVTPH2UDQ_XMMu32_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2UDQ_XMMu32_MASKmskw_XMMf16_AVX512	VCVTPH2UDQ	CONVERT	AVX512EVEX	AVX512_FP16_128	64	62 f5 7c 09 79 c0	VCVTPH2UDQ_XMMu32_MASKmskw_XMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2UDQ_YMMu32_MASKmskw_MEMf16_AVX512	VCVTPH2UDQ	CONVERT	AVX512EVEX	AVX512_FP16_256	64	62 f5 7c 29 79 00	VCVTPH2UDQ_YMMu32_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2UDQ_YMMu32_MASKmskw_XMMf16_AVX512	VCVTPH2UDQ	CONVERT	AVX512EVEX	AVX512_FP16_256	64	62 f5 7c 29 79 c0	VCVTPH2UDQ_YMMu32_MASKmskw_XMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2UDQ_ZMMu32_MASKmskw_MEMf16_AVX512	VCVTPH2UDQ	CONVERT	AVX512EVEX	AVX512_FP16_512	64	62 f5 7c 49 79 00	VCVTPH2UDQ_ZMMu32_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2UDQ_ZMMu32_MASKmskw_YMMf16_AVX512	VCVTPH2UDQ	CONVERT	AVX512EVEX	AVX512_FP16_512	64	62 f5 7c 49 79 c0	VCVTPH2UDQ_ZMMu32_MASKmskw_YMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2UQQ_XMMu64_MASKmskw_MEMf16_AVX512	VCVTPH2UQQ	CONVERT	AVX512EVEX	AVX512_FP16_128	64	62 f5 7d 09 79 00	VCVTPH2UQQ_XMMu64_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2UQQ_XMMu64_MASKmskw_XMMf16_AVX512	VCVTPH2UQQ	CONVERT	AVX512EVEX	AVX512_FP16_128	64	62 f5 7d 09 79 c0	VCVTPH2UQQ_XMMu64_MASKmskw_XMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2UQQ_YMMu64_MASKmskw_MEMf16_AVX512	VCVTPH2UQQ	CONVERT	AVX512EVEX	AVX512_FP16_256	64	62 f5 7d 29 79 00	VCVTPH2UQQ_YMMu64_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2UQQ_YMMu64_MASKmskw_XMMf16_AVX512	VCVTPH2UQQ	CONVERT	AVX512EVEX	AVX512_FP16_256	64	62 f5 7d 29 79 c0	VCVTPH2UQQ_YMMu64_MASKmskw_XMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2UQQ_ZMMu64_MASKmskw_MEMf16_AVX512	VCVTPH2UQQ	CONVERT	AVX512EVEX	AVX512_FP16_512	64	62 f5 7d 49 79 00	VCVTPH2UQQ_ZMMu64_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2UQQ_ZMMu64_MASKmskw_XMMf16_AVX512	VCVTPH2UQQ	CONVERT	AVX512EVEX	AVX512_FP16_512	64	62 f5 7d 59 79 c0	VCVTPH2UQQ_ZMMu64_MASKmskw_XMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2UW_XMMu16_MASKmskw_MEMf16_AVX512	VCVTPH2UW	CONVERT	AVX512EVEX	AVX512_FP16_128	64	62 f5 7c 09 7d 00	VCVTPH2UW_XMMu16_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2UW_XMMu16_MASKmskw_XMMf16_AVX512	VCVTPH2UW	CONVERT	AVX512EVEX	AVX512_FP16_128	64	62 f5 7c 09 7d c0	VCVTPH2UW_XMMu16_MASKmskw_XMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2UW_YMMu16_MASKmskw_MEMf16_AVX512	VCVTPH2UW	CONVERT	AVX512EVEX	AVX512_FP16_256	64	62 f5 7c 29 7d 00	VCVTPH2UW_YMMu16_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2UW_YMMu16_MASKmskw_YMMf16_AVX512	VCVTPH2UW	CONVERT	AVX512EVEX	AVX512_FP16_256	64	62 f5 7c 29 7d c0	VCVTPH2UW_YMMu16_MASKmskw_YMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2UW_ZMMu16_MASKmskw_MEMf16_AVX512	VCVTPH2UW	CONVERT	AVX512EVEX	AVX512_FP16_512	64	62 f5 7c 49 7d 00	VCVTPH2UW_ZMMu16_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2UW_ZMMu16_MASKmskw_ZMMf16_AVX512	VCVTPH2UW	CONVERT	AVX512EVEX	AVX512_FP16_512	64	62 f5 7c 49 7d c0	VCVTPH2UW_ZMMu16_MASKmskw_ZMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2W_XMMi16_MASKmskw_MEMf16_AVX512	VCVTPH2W	CONVERT	AVX512EVEX	AVX512_FP16_128	64	62 f5 7d 09 7d 00	VCVTPH2W_XMMi16_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2W_XMMi16_MASKmskw_XMMf16_AVX512	VCVTPH2W	CONVERT	AVX512EVEX	AVX512_FP16_128	64	62 f5 7d 09 7d c0	VCVTPH2W_XMMi16_MASKmskw_XMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2W_YMMi16_MASKmskw_MEMf16_AVX512	VCVTPH2W	CONVERT	AVX512EVEX	AVX512_FP16_256	64	62 f5 7d 29 7d 00	VCVTPH2W_YMMi16_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2W_YMMi16_MASKmskw_YMMf16_AVX512	VCVTPH2W	CONVERT	AVX512EVEX	AVX512_FP16_256	64	62 f5 7d 29 7d c0	VCVTPH2W_YMMi16_MASKmskw_YMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2W_ZMMi16_MASKmskw_MEMf16_AVX512	VCVTPH2W	CONVERT	AVX512EVEX	AVX512_FP16_512	64	62 f5 7d 49 7d 00	VCVTPH2W_ZMMi16_MASKmskw_MEMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPH2W_ZMMi16_MASKmskw_ZMMf16_AVX512	VCVTPH2W	CONVERT	AVX512EVEX	AVX512_FP16_512	64	62 f5 7d 59 7d c0	VCVTPH2W_ZMMi16_MASKmskw_ZMMf16_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2BF8S_XMMbf8_MASKmskw_MEMf32_AVX512_VL128	VCVTPS2BF8S	CONVERT	AVX512EVEX	AVX10_V2_AUX_128	64	62 f5 7e 09 3b 00	VCVTPS2BF8S_XMMbf8_MASKmskw_MEMf32_AVX512_VL128	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2BF8S_XMMbf8_MASKmskw_MEMf32_AVX512_VL256	VCVTPS2BF8S	CONVERT	AVX512EVEX	AVX10_V2_AUX_256	64	62 f5 7e 29 3b 00	VCVTPS2BF8S_XMMbf8_MASKmskw_MEMf32_AVX512_VL256	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2BF8S_XMMbf8_MASKmskw_MEMf32_AVX512_VL512	VCVTPS2BF8S	CONVERT	AVX512EVEX	AVX10_V2_AUX_512	64	62 f5 7e 49 3b 00	VCVTPS2BF8S_XMMbf8_MASKmskw_MEMf32_AVX512_VL512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2BF8S_XMMbf8_MASKmskw_XMMf32_AVX512	VCVTPS2BF8S	CONVERT	AVX512EVEX	AVX10_V2_AUX_128	64	62 f5 7e 09 3b c0	VCVTPS2BF8S_XMMbf8_MASKmskw_XMMf32_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2BF8S_XMMbf8_MASKmskw_YMMf32_AVX512	VCVTPS2BF8S	CONVERT	AVX512EVEX	AVX10_V2_AUX_256	64	62 f5 7e 29 3b c0	VCVTPS2BF8S_XMMbf8_MASKmskw_YMMf32_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2BF8S_XMMbf8_MASKmskw_ZMMf32_AVX512	VCVTPS2BF8S	CONVERT	AVX512EVEX	AVX10_V2_AUX_512	64	62 f5 7e 49 3b c0	VCVTPS2BF8S_XMMbf8_MASKmskw_ZMMf32_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2BF8_XMMbf8_MASKmskw_MEMf32_AVX512_VL128	VCVTPS2BF8	CONVERT	AVX512EVEX	AVX10_V2_AUX_128	64	62 f5 7e 09 39 00	VCVTPS2BF8_XMMbf8_MASKmskw_MEMf32_AVX512_VL128	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2BF8_XMMbf8_MASKmskw_MEMf32_AVX512_VL256	VCVTPS2BF8	CONVERT	AVX512EVEX	AVX10_V2_AUX_256	64	62 f5 7e 29 39 00	VCVTPS2BF8_XMMbf8_MASKmskw_MEMf32_AVX512_VL256	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2BF8_XMMbf8_MASKmskw_MEMf32_AVX512_VL512	VCVTPS2BF8	CONVERT	AVX512EVEX	AVX10_V2_AUX_512	64	62 f5 7e 49 39 00	VCVTPS2BF8_XMMbf8_MASKmskw_MEMf32_AVX512_VL512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2BF8_XMMbf8_MASKmskw_XMMf32_AVX512	VCVTPS2BF8	CONVERT	AVX512EVEX	AVX10_V2_AUX_128	64	62 f5 7e 09 39 c0	VCVTPS2BF8_XMMbf8_MASKmskw_XMMf32_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2BF8_XMMbf8_MASKmskw_YMMf32_AVX512	VCVTPS2BF8	CONVERT	AVX512EVEX	AVX10_V2_AUX_256	64	62 f5 7e 29 39 c0	VCVTPS2BF8_XMMbf8_MASKmskw_YMMf32_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2BF8_XMMbf8_MASKmskw_ZMMf32_AVX512	VCVTPS2BF8	CONVERT	AVX512EVEX	AVX10_V2_AUX_512	64	62 f5 7e 49 39 c0	VCVTPS2BF8_XMMbf8_MASKmskw_ZMMf32_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2HF8S_XMMhf8_MASKmskw_MEMf32_AVX512_VL128	VCVTPS2HF8S	CONVERT	AVX512EVEX	AVX10_V2_AUX_128	64	62 f5 7e 09 3a 00	VCVTPS2HF8S_XMMhf8_MASKmskw_MEMf32_AVX512_VL128	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2HF8S_XMMhf8_MASKmskw_MEMf32_AVX512_VL256	VCVTPS2HF8S	CONVERT	AVX512EVEX	AVX10_V2_AUX_256	64	62 f5 7e 29 3a 00	VCVTPS2HF8S_XMMhf8_MASKmskw_MEMf32_AVX512_VL256	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2HF8S_XMMhf8_MASKmskw_MEMf32_AVX512_VL512	VCVTPS2HF8S	CONVERT	AVX512EVEX	AVX10_V2_AUX_512	64	62 f5 7e 49 3a 00	VCVTPS2HF8S_XMMhf8_MASKmskw_MEMf32_AVX512_VL512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2HF8S_XMMhf8_MASKmskw_XMMf32_AVX512	VCVTPS2HF8S	CONVERT	AVX512EVEX	AVX10_V2_AUX_128	64	62 f5 7e 09 3a c0	VCVTPS2HF8S_XMMhf8_MASKmskw_XMMf32_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2HF8S_XMMhf8_MASKmskw_YMMf32_AVX512	VCVTPS2HF8S	CONVERT	AVX512EVEX	AVX10_V2_AUX_256	64	62 f5 7e 29 3a c0	VCVTPS2HF8S_XMMhf8_MASKmskw_YMMf32_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2HF8S_XMMhf8_MASKmskw_ZMMf32_AVX512	VCVTPS2HF8S	CONVERT	AVX512EVEX	AVX10_V2_AUX_512	64	62 f5 7e 49 3a c0	VCVTPS2HF8S_XMMhf8_MASKmskw_ZMMf32_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2HF8_XMMhf8_MASKmskw_MEMf32_AVX512_VL128	VCVTPS2HF8	CONVERT	AVX512EVEX	AVX10_V2_AUX_128	64	62 f5 7e 09 38 00	VCVTPS2HF8_XMMhf8_MASKmskw_MEMf32_AVX512_VL128	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2HF8_XMMhf8_MASKmskw_MEMf32_AVX512_VL256	VCVTPS2HF8	CONVERT	AVX512EVEX	AVX10_V2_AUX_256	64	62 f5 7e 29 38 00	VCVTPS2HF8_XMMhf8_MASKmskw_MEMf32_AVX512_VL256	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2HF8_XMMhf8_MASKmskw_MEMf32_AVX512_VL512	VCVTPS2HF8	CONVERT	AVX512EVEX	AVX10_V2_AUX_512	64	62 f5 7e 49 38 00	VCVTPS2HF8_XMMhf8_MASKmskw_MEMf32_AVX512_VL512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2HF8_XMMhf8_MASKmskw_XMMf32_AVX512	VCVTPS2HF8	CONVERT	AVX512EVEX	AVX10_V2_AUX_128	64	62 f5 7e 09 38 c0	VCVTPS2HF8_XMMhf8_MASKmskw_XMMf32_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2HF8_XMMhf8_MASKmskw_YMMf32_AVX512	VCVTPS2HF8	CONVERT	AVX512EVEX	AVX10_V2_AUX_256	64	62 f5 7e 29 38 c0	VCVTPS2HF8_XMMhf8_MASKmskw_YMMf32_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2HF8_XMMhf8_MASKmskw_ZMMf32_AVX512	VCVTPS2HF8	CONVERT	AVX512EVEX	AVX10_V2_AUX_512	64	62 f5 7e 49 38 c0	VCVTPS2HF8_XMMhf8_MASKmskw_ZMMf32_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2IBS_XMMi8_MASKmskw_MEMf32_AVX512	VCVTPS2IBS	CONVERT	AVX512EVEX	AVX512_SAT_CVT_128	64	62 f5 7d 09 69 00	VCVTPS2IBS_XMMi8_MASKmskw_MEMf32_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
VCVTPS2IBS_XMMi8_MASKmskw_XMMf32_AVX512	VCVTPS2IBS	CONVERT	AVX512EVEX	AVX512_SAT_CVT_128	64	62 f5 7d 09 69 c0	VCVTPS2IBS_XMMi8_MASKmskw_XMMf32_AVX512	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
