form_id	instruction_set	internal_name	mnemonic	alias_mnemonics	assembly_template	width	fixed_mask	fixed_value	fixed_bits	features	operation_id	condition_digest	assertions_digest	coverage_status	cdisasm_name	cdisasm_name_id	name_match_kind	name_match_rule	source_name_reference	success_cases	missing_cases	profile_cases
A32/dp/xldst/ldstximm/STRH_i_A1_pre	A32	STRH_i_A1_pre	STRH		STRH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__14><rule:COMMA><rule:hash><rule:plus_or_minus_option><rule:imm4H_imm4L__2>]<rule:BANG>	32	0x0f7000f0	0x016000b0	11		STRH_i	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	STRH	49	exact		True	a32_strh_i_pre_f32		
A32/dp/xldst/ldstximm/STRD_i_A1_off	A32	STRD_i_A1_off	STRD		STRD<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt__3><rule:COMMA><rule:Rt2__2><rule:COMMA>[<rule:Rn__15><rule:OPT_SPACE><rule:plus_or_minus_option_imm4h_imm4l_choice>]	32	0x0f7000f0	0x014000f0	11		STRD_i	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	STRD	1638	exact		True	a32_strd_i_off_f33		
A32/dp/xldst/ldstximm/STRD_i_A1_post	A32	STRD_i_A1_post	STRD		STRD<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt__3><rule:COMMA><rule:Rt2__2><rule:COMMA>[<rule:Rn__15>]<rule:COMMA><rule:hash><rule:plus_or_minus_option><rule:imm4H_imm4L__2>	32	0x0f7000f0	0x004000f0	11		STRD_i	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	STRD	1638	exact		True	a32_strd_i_post_f34		
A32/dp/xldst/ldstximm/STRD_i_A1_pre	A32	STRD_i_A1_pre	STRD		STRD<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt__3><rule:COMMA><rule:Rt2__2><rule:COMMA>[<rule:Rn__15><rule:COMMA><rule:hash><rule:plus_or_minus_option><rule:imm4H_imm4L__2>]<rule:BANG>	32	0x0f7000f0	0x016000f0	11		STRD_i	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	STRD	1638	exact		True	a32_strd_i_pre_f35		
A32/dp/xldst/ldstximm/LDRH_i_A1_off	A32	LDRH_i_A1_off	LDRH		LDRH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__16><rule:OPT_SPACE><rule:plus_or_minus_option_imm4h_imm4l_choice>]	32	0x0f7000f0	0x015000b0	11		LDRH_i	57db9f354ab51cf856069714be0a9941568b25742d8a7931167a42988b558e77	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRH	27	exact		True	a32_ldrh_i_off_f36		
A32/dp/xldst/ldstximm/LDRH_i_A1_post	A32	LDRH_i_A1_post	LDRH		LDRH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__16>]<rule:COMMA><rule:hash><rule:plus_or_minus_option><rule:imm4H_imm4L__2>	32	0x0f7000f0	0x005000b0	11		LDRH_i	57db9f354ab51cf856069714be0a9941568b25742d8a7931167a42988b558e77	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRH	27	exact		True	a32_ldrh_i_post_f37		
A32/dp/xldst/ldstximm/LDRH_i_A1_pre	A32	LDRH_i_A1_pre	LDRH		LDRH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__16><rule:COMMA><rule:hash><rule:plus_or_minus_option><rule:imm4H_imm4L__2>]<rule:BANG>	32	0x0f7000f0	0x017000b0	11		LDRH_i	57db9f354ab51cf856069714be0a9941568b25742d8a7931167a42988b558e77	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRH	27	exact		True	a32_ldrh_i_pre_f38		
A32/dp/xldst/ldstximm/LDRSB_i_A1_off	A32	LDRSB_i_A1_off	LDRSB		LDRSB<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__17><rule:OPT_SPACE><rule:plus_or_minus_option_imm4h_imm4l_choice>]	32	0x0f7000f0	0x015000d0	11		LDRSB_i	57db9f354ab51cf856069714be0a9941568b25742d8a7931167a42988b558e77	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRSB	222	exact		True	a32_ldrsb_i_off_f39		
A32/dp/xldst/ldstximm/LDRSB_i_A1_post	A32	LDRSB_i_A1_post	LDRSB		LDRSB<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__17>]<rule:COMMA><rule:hash><rule:plus_or_minus_option><rule:imm4H_imm4L__2>	32	0x0f7000f0	0x005000d0	11		LDRSB_i	57db9f354ab51cf856069714be0a9941568b25742d8a7931167a42988b558e77	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRSB	222	exact		True	a32_ldrsb_i_post_f40		
A32/dp/xldst/ldstximm/LDRSB_i_A1_pre	A32	LDRSB_i_A1_pre	LDRSB		LDRSB<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__17><rule:COMMA><rule:hash><rule:plus_or_minus_option><rule:imm4H_imm4L__2>]<rule:BANG>	32	0x0f7000f0	0x017000d0	11		LDRSB_i	57db9f354ab51cf856069714be0a9941568b25742d8a7931167a42988b558e77	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRSB	222	exact		True	a32_ldrsb_i_pre_f41		
