form_id	internal_name	mnemonic	assembly_template	feature_condition_id	condition_digest	preferred_digest	operation_id
T32/w/dpint_shiftr/MOVS_r_T3	ASRS	ASRS	ASRS<rule:al_option_choice__4><rule:qn_option_choice><rule:SPACE><rule:rd_choice__20><rule:Rm__10><rule:COMMA><rule:hash><rule:imm3_imm2__5>	0	485a597984f25e48e2e13bdf90499655cb4c3be2a0844fb9ddcc6c56b8992729	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	ASRS_MOV_r
T32/w/dpint_shiftr/MOVS_r_T3	ASRSB	ASRS	ASRS<rule:DOT>W<rule:SPACE><rule:rd_choice__20><rule:Rm__10><rule:COMMA><rule:hash><rule:imm3_imm2__5>	0	5542c844827f2f4220b0897a7afaaa89e2e6d48f6ee2db579cc3e8e9d7369d5d	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	ASRS_MOV_r
T32/w/dpint_shiftr/MOVS_r_T3	LSLS	LSLS	LSLS<rule:al_option_choice__4><rule:qn_option_choice><rule:SPACE><rule:rd_choice__20><rule:Rm__10><rule:COMMA><rule:hash><rule:imm3_imm2__4>	0	b7b6fca8a3e8349ae4e617af24856295d53e5efb8000c00b74ac748e2e5eda2d	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	LSLS_MOV_r
T32/w/dpint_shiftr/MOVS_r_T3	LSLSB	LSLS	LSLS<rule:DOT>W<rule:SPACE><rule:rd_choice__20><rule:Rm__10><rule:COMMA><rule:hash><rule:imm3_imm2__4>	0	5542c844827f2f4220b0897a7afaaa89e2e6d48f6ee2db579cc3e8e9d7369d5d	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	LSLS_MOV_r
T32/w/dpint_shiftr/MOVS_r_T3	LSRS	LSRS	LSRS<rule:al_option_choice__4><rule:qn_option_choice><rule:SPACE><rule:rd_choice__20><rule:Rm__10><rule:COMMA><rule:hash><rule:imm3_imm2__3>	0	2f76f432ce1e26c629271bca594657d3a8d9b354380dd622b11b416752abd038	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	LSRS_MOV_r
T32/w/dpint_shiftr/MOVS_r_T3	LSRSB	LSRS	LSRS<rule:DOT>W<rule:SPACE><rule:rd_choice__20><rule:Rm__10><rule:COMMA><rule:hash><rule:imm3_imm2__3>	0	5542c844827f2f4220b0897a7afaaa89e2e6d48f6ee2db579cc3e8e9d7369d5d	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	LSRS_MOV_r
T32/w/dpint_shiftr/MOVS_r_T3	RORS	RORS	RORS<rule:al_option_choice__4><rule:qn_option_choice><rule:SPACE><rule:rd_choice__20><rule:Rm__10><rule:COMMA><rule:hash><rule:imm3_imm2__6>	0	02d96ad32b11c3a914a15510dd35da9092ac89b8fc4dbe2171d1de05793f59dc	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	RORS_MOV_r
T32/w/dpint_shiftr/MOVS_r_T3	T3B	MOVS	MOVS<rule:DOT>W<rule:SPACE><rule:Rd__25><rule:COMMA><rule:Rm__10><rule:OPT_SPACE><rule:shift_option_imm3_imm2_choice__2>	0	5542c844827f2f4220b0897a7afaaa89e2e6d48f6ee2db579cc3e8e9d7369d5d	80ed10fd21f229300d2e98bbd63fb627db381faee08f81ab9e5c767898879495	MOV_r
T32/w/dpint_shiftr/MOVS_r_T3_RRX	RRXS	RRXS	RRXS<rule:al_option_choice__4><rule:qn_option_choice><rule:SPACE><rule:rd_choice__20><rule:Rm__10>	0	c8bb658364bd0773ed24591c4c852eca69379809cc68982cbe3593330fa7d6aa	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	RRXS_MOV_r
T32/w/dpint_shiftr/MOV_r_T3	ASR	ASR	ASR<rule:al_option_choice__4><rule:qn_option_choice><rule:SPACE><rule:rd_choice__20><rule:Rm__10><rule:COMMA><rule:hash><rule:imm3_imm2__5>	0	49e2c8182034d5ac0812fbfbc819465e7b220da28b5273bbaadea85c693b6dfa	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	ASR_MOV_r
