leaf_index	instruction_set	width	fixed_mask	fixed_value	fixed_bits	internal_name	mnemonic	assembly_template	feature_condition_id	all_conditions_digest	assertions_digest	operation_id	alias_count	form_id	source_order
4165	A64	32	0xfff0e000	0xa400e000	15	ldnt1b_z_p_bi_contiguous	LDNT1B	LDNT1B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.B<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_imm__10>]	92	f318c8c256fc8a0f8389aba153e32c8afa776eafdb7189c6a57b1310da0e936a	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ldnt1b_z_p_bi	0	A64/sve/sve_memcld/sve_mem_cldnt_si/ldnt1b_z_p_bi_contiguous	3361
4166	A64	32	0xfff0e000	0xa410a000	15	ldnf1b_z_p_bi_u8	LDNF1B	LDNF1B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.B<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_imm__10>]	232	40108c832874d46fd650c2fb06a017b4b85aec68602a64814483b346ed65a440	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ldnf1b_z_p_bi	0	A64/sve/sve_memcld/sve_mem_cldnf_si/ldnf1b_z_p_bi_u8	3329
4167	A64	32	0xffe0e000	0xa4200000	14	ld1rob_z_p_br_contiguous	LD1ROB	LD1ROB<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.B<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:COMMA><rule:Xm__4>]	30	a10e2221434a60342ef0091e9c65a0871bb0e2817f3c03c079f248cb14a0b528	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld1rob_z_p_br	0	A64/sve/sve_memcld/sve_mem_ldqr_ss/ld1rob_z_p_br_contiguous	3259
4168	A64	32	0xfff0e000	0xa4202000	15	ld1rob_z_p_bi_u8	LD1ROB	LD1ROB<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.B<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_imm__16>]	138	a3123128c89d8c8b976a3d741cfbd8d436986cf7780491707e36c06f14c3cdca	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld1rob_z_p_bi	0	A64/sve/sve_memcld/sve_mem_ldqr_si/ld1rob_z_p_bi_u8	3267
4169	A64	32	0xffe0e000	0xa4204000	14	ld1b_z_p_br_u16	LD1B	LD1B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.H<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:COMMA><rule:Xm__4>]	84	f25256393b7f7ba1131c033461b295675570d015e37693d89645297f021efbdd	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld1b_z_p_br	0	A64/sve/sve_memcld/sve_mem_cld_ss/ld1b_z_p_br_u16	3277
4170	A64	32	0xffe0e000	0xa4206000	14	ldff1b_z_p_br_u16	LDFF1B	LDFF1B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.H<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_Xm__2>]	232	40108c832874d46fd650c2fb06a017b4b85aec68602a64814483b346ed65a440	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ldff1b_z_p_br	0	A64/sve/sve_memcld/sve_mem_cldff_ss/ldff1b_z_p_br_u16	3293
4171	A64	32	0xfff0e000	0xa420a000	15	ld1b_z_p_bi_u16	LD1B	LD1B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.H<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_imm__10>]	92	f318c8c256fc8a0f8389aba153e32c8afa776eafdb7189c6a57b1310da0e936a	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld1b_z_p_bi	0	A64/sve/sve_memcld/sve_mem_cld_si/ld1b_z_p_bi_u16	3314
4172	A64	32	0xffe0e000	0xa420c000	14	ld2b_z_p_br_contiguous	LD2B	LD2B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt1__5>.B<rule:COMMA><rule:Zt2__4>.B<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:COMMA><rule:Xm__4>]	42	8208a767ea76fd59aa6c45ed5fb033009b068790baacaeaefebf2fe04a0ece57	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld2b_z_p_br	0	A64/sve/sve_memcld/sve_mem_eld_ss/ld2b_z_p_br_contiguous	3349
4173	A64	32	0xfff0e000	0xa420e000	15	ld2b_z_p_bi_contiguous	LD2B	LD2B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt1__5>.B<rule:COMMA><rule:Zt2__4>.B<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_imm__7>]	43	aea8c59c4f1552701f3557c7c60f90d91a5525000b4948ed68729127a0b96a41	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld2b_z_p_bi	0	A64/sve/sve_memcld/sve_mem_eld_si/ld2b_z_p_bi_contiguous	3365
4174	A64	32	0xfff0e000	0xa430a000	15	ldnf1b_z_p_bi_u16	LDNF1B	LDNF1B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.H<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_imm__10>]	232	40108c832874d46fd650c2fb06a017b4b85aec68602a64814483b346ed65a440	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ldnf1b_z_p_bi	0	A64/sve/sve_memcld/sve_mem_cldnf_si/ldnf1b_z_p_bi_u16	3330
