binding_set_id	first_binding	binding_count	digest
123	1548	15	d9c47705c3dc23aba6f30e1044753bd9c50762d63f88a6fbb34f01627a3a02a0
124	1563	14	6400999085b3a75a331d71451490c6a312723b2d073fdb88ab2897732d7209a9
125	1577	14	14edc5deedc4e4b52ff7757550b830f5ffb1239fc4c53fae18f1cf0526810dca
126	1591	14	f9972412d326468eaa8e70e5b3434631b7035359a3ca91ac0ae8471b4df9a11c
127	1605	13	0a20f016a1f3c70d048c180f08309f6e0135e5da1c4916b64dd931409dc29730
128	1618	15	0b1e6f831bc0fdfe02a86d28d91047894c3d350b497a0cee3f3c4a06701d1a68
129	1633	14	18198b49b902f5afc2cf542fdef4395c860536b16dd577f55047cbbbbc734a00
130	1647	13	c71ad12fcc3ce02b4e6a4cf6d264025d96a73a18b8fae1a4a855e7753eb1ec14
131	1660	15	c27b5a5a7735484ee8d2cfde318400cd0d0e36ee8c58a58f7e8ac6bc345dcd32
132	1675	14	45e8062bf30f6fec1b6efe024d99d4ed94e07ed5cb658ce8de5319bbe8ed4b66
133	1689	15	c2f4fed72d948c002d6489cf257e8fe03c4043164101f1ab375137fa55e54ae8
134	1704	12	f9a0f3fa1dce46ae9eaf780d0802a7bf1fb51dbc673b5b05e86693e3a273c556
135	1716	15	a2bbcdfd8448c11d3d83987f003feeb890b2af07d0c690e3d8c6afe444d1be58
136	1731	14	e20ddd2bb747e3d72a16d80e670187d71060d64ae1fc2a437e2d295fb34402b3
137	1745	14	78f089d3a247ac3374acd15e82b6b498e87684aada15986924e3871f144c23f2
138	1759	15	639ccdf7c58f70b5831e214e34ce9aa15aba0fff05155d9cee463d806d38971e
139	1774	14	609ef514c8e9cf2509d35df764d392515a63809489df3044bb647956195873b2
140	1788	12	00202230d2966a3627996898c6300a56a83a7b96cc53c57e8da388d491bbc7da
141	1800	14	636bf6ab933332da584fa7cd3499e39eec7f48549fb0de13a9e94047fa076752
142	1814	14	1064c9f37b18b25df2e2597f2e5ae99eaf033dbf5228782ed35e4468551e84ef
143	1828	14	114a757c08eef8cc18a10ea17aab44fbc3772beab28a830b64c375b3cc5a8b80
144	1842	14	ce1a3b401750be3e2e0b596649d7035d0b3ddb0db4e08f52f3497877f39cb251
