form_id	source_form_id	mnemonic	isa	width	witness_a	witness_b	witness_31	operand_access	capstone_real_name	capstone_groups
5617	A64/dpreg/dp_1src/RBIT_64_dp_1src	rbit	A64	32	0xdac000c1	0xdac000e2	0xdac003ff	2,1	rbit	
5618	A64/dpreg/dp_1src/REV16_64_dp_1src	rev16	A64	32	0xdac004c1	0xdac004e2	0xdac007ff	2,1	rev16	
5619	A64/dpreg/dp_1src/REV32_64_dp_1src	rev32	A64	32	0xdac008c1	0xdac008e2	0xdac00bff	2,1	rev32	
5620	A64/dpreg/dp_1src/REV_64_dp_1src	rev	A64	32	0xdac00cc1	0xdac00ce2	0xdac00fff	2,1	rev	
5621	A64/dpreg/dp_1src/CLZ_64_dp_1src	clz	A64	32	0xdac010c1	0xdac010e2	0xdac013ff	2,1	clz	
5622	A64/dpreg/dp_1src/CLS_64_dp_1src	cls	A64	32	0xdac014c1	0xdac014e2	0xdac017ff	2,1	cls	
5623	A64/dpreg/dp_1src/CTZ_64_dp_1src	ctz	A64	32	0xdac018c1	0xdac018e2	0xdac01bff	2,1	ctz	HasCSSC
5624	A64/dpreg/dp_1src/CNT_64_dp_1src	cnt	A64	32	0xdac01cc1	0xdac01ce2	0xdac01fff	2,1	cnt	HasCSSC
5625	A64/dpreg/dp_1src/ABS_64_dp_1src	abs	A64	32	0xdac020c1	0xdac020e2	0xdac023ff	2,1	abs	HasCSSC
5626	A64/dpreg/dp_1src/PACIA_64P_dp_1src	pacia	A64	32	0xdac100c1	0xdac100e2	0xdac103ff	3,1	pacia	HasPAuth
5627	A64/dpreg/dp_1src/PACIB_64P_dp_1src	pacib	A64	32	0xdac104c1	0xdac104e2	0xdac107ff	3,1	pacib	HasPAuth
5628	A64/dpreg/dp_1src/PACDA_64P_dp_1src	pacda	A64	32	0xdac108c1	0xdac108e2	0xdac10bff	3,1	pacda	HasPAuth
5629	A64/dpreg/dp_1src/PACDB_64P_dp_1src	pacdb	A64	32	0xdac10cc1	0xdac10ce2	0xdac10fff	3,1	pacdb	HasPAuth
5630	A64/dpreg/dp_1src/AUTIA_64P_dp_1src	autia	A64	32	0xdac110c1	0xdac110e2	0xdac113ff	3,1	autia	HasPAuth
