iform_id	iform	iclass	iclass_id
209	AND_GPR8i8_IMM8_APX_N3	AND	7
210	AND_GPR8i8_MEMi8_APX	AND	7
211	AND_GPR8i8_MEMi8_APX_N3	AND	7
212	AND_GPR8i8_MEMi8_GPR8i8_APX_N3	AND	7
213	AND_GPR8i8_MEMi8_IMM8_APX_N3	AND	7
214	AND_GPRv_GPRv_21	AND	7
215	AND_GPRv_GPRv_23	AND	7
216	AND_GPRv_GPRv_APX	AND	7
217	AND_GPRv_GPRv_APX_N3	AND	7
218	AND_GPRv_GPRv_GPRv_APX_N3	AND	7
219	AND_GPRv_GPRv_IMM8_APX_N3	AND	7
220	AND_GPRv_GPRv_IMMz_APX_N3	AND	7
221	AND_GPRv_GPRv_MEMv_APX_N3	AND	7
222	AND_GPRv_IMM8_APX	AND	7
223	AND_GPRv_IMM8_APX_N3	AND	7
224	AND_GPRv_IMMb	AND	7
225	AND_GPRv_IMMz	AND	7
226	AND_GPRv_IMMz_APX	AND	7
227	AND_GPRv_IMMz_APX_N3	AND	7
228	AND_GPRv_MEMv	AND	7
229	AND_GPRv_MEMv_APX	AND	7
230	AND_GPRv_MEMv_APX_N3	AND	7
231	AND_GPRv_MEMv_GPRv_APX_N3	AND	7
232	AND_GPRv_MEMv_IMM8_APX_N3	AND	7
233	AND_GPRv_MEMv_IMMz_APX_N3	AND	7
234	AND_LOCK_MEMb_GPR8	AND_LOCK	1210
235	AND_LOCK_MEMb_IMMb_80r4	AND_LOCK	1210
236	AND_LOCK_MEMb_IMMb_82r4	AND_LOCK	1210
237	AND_LOCK_MEMv_GPRv	AND_LOCK	1210
238	AND_LOCK_MEMv_IMMb	AND_LOCK	1210
239	AND_LOCK_MEMv_IMMz	AND_LOCK	1210
240	AND_MEMb_GPR8	AND	7
241	AND_MEMb_IMMb_80r4	AND	7
242	AND_MEMb_IMMb_82r4	AND	7
243	AND_MEMi8_GPR8i8_APX	AND	7
244	AND_MEMi8_GPR8i8_APX_N3	AND	7
245	AND_MEMi8_IMM8_APX	AND	7
246	AND_MEMi8_IMM8_APX_N3	AND	7
247	AND_MEMv_GPRv	AND	7
248	AND_MEMv_GPRv_APX	AND	7
249	AND_MEMv_GPRv_APX_N3	AND	7
250	AND_MEMv_IMM8_APX	AND	7
251	AND_MEMv_IMM8_APX_N3	AND	7
252	AND_MEMv_IMMb	AND	7
253	AND_MEMv_IMMz	AND	7
254	AND_MEMv_IMMz_APX	AND	7
255	AND_MEMv_IMMz_APX_N3	AND	7
256	AND_OrAX_IMMz	AND	7
257	AOR_MEM32_GPR32	AOR	1211
258	AOR_MEM64_GPR64	AOR	1211
259	AOR_MEMi32_GPR32i32_APX	AOR	1211
260	AOR_MEMi64_GPR64i64_APX	AOR	1211
261	ARPL_GPR16_GPR16	ARPL	8
262	ARPL_MEMw_GPR16	ARPL	8
263	AXOR_MEM32_GPR32	AXOR	1212
264	AXOR_MEM64_GPR64	AXOR	1212
265	AXOR_MEMi32_GPR32i32_APX	AXOR	1212
266	AXOR_MEMi64_GPR64i64_APX	AXOR	1212
267	BEXTR_GPR32d_GPR32d_GPR32d	BEXTR	685
268	BEXTR_GPR32d_MEMd_GPR32d	BEXTR	685
269	BEXTR_GPR32i32_GPR32i32_GPR32i32_APX	BEXTR	685
270	BEXTR_GPR32i32_GPR32i32_GPR32i32_APX_N3	BEXTR	685
271	BEXTR_GPR32i32_MEMi32_GPR32i32_APX	BEXTR	685
272	BEXTR_GPR32i32_MEMi32_GPR32i32_APX_N3	BEXTR	685
273	BEXTR_GPR64i64_GPR64i64_GPR64i64_APX	BEXTR	685
274	BEXTR_GPR64i64_GPR64i64_GPR64i64_APX_N3	BEXTR	685
275	BEXTR_GPR64i64_MEMi64_GPR64i64_APX	BEXTR	685
276	BEXTR_GPR64i64_MEMi64_GPR64i64_APX_N3	BEXTR	685
277	BEXTR_GPR64q_GPR64q_GPR64q	BEXTR	685
278	BEXTR_GPR64q_MEMq_GPR64q	BEXTR	685
279	BEXTR_XOP_GPR32d_GPR32d_IMMd	BEXTR_XOP	1213
280	BEXTR_XOP_GPR32d_MEMd_IMMd	BEXTR_XOP	1213
281	BEXTR_XOP_GPRyy_GPRyy_IMMd	BEXTR_XOP	1213
282	BEXTR_XOP_GPRyy_MEMy_IMMd	BEXTR_XOP	1213
283	BLCFILL_GPR32d_GPR32d	BLCFILL	1214
284	BLCFILL_GPR32d_MEMd	BLCFILL	1214
285	BLCFILL_GPRyy_GPRyy	BLCFILL	1214
286	BLCFILL_GPRyy_MEMy	BLCFILL	1214
287	BLCIC_GPR32d_GPR32d	BLCIC	1216
288	BLCIC_GPR32d_MEMd	BLCIC	1216
289	BLCIC_GPRyy_GPRyy	BLCIC	1216
290	BLCIC_GPRyy_MEMy	BLCIC	1216
291	BLCI_GPR32d_GPR32d	BLCI	1215
292	BLCI_GPR32d_MEMd	BLCI	1215
293	BLCI_GPRyy_GPRyy	BLCI	1215
294	BLCI_GPRyy_MEMy	BLCI	1215
295	BLCMSK_GPR32d_GPR32d	BLCMSK	1217
296	BLCMSK_GPR32d_MEMd	BLCMSK	1217
297	BLCMSK_GPRyy_GPRyy	BLCMSK	1217
298	BLCMSK_GPRyy_MEMy	BLCMSK	1217
299	BLCS_GPR32d_GPR32d	BLCS	1218
300	BLCS_GPR32d_MEMd	BLCS	1218
301	BLCS_GPRyy_GPRyy	BLCS	1218
302	BLCS_GPRyy_MEMy	BLCS	1218
303	BLENDPD_XMMdq_MEMdq_IMMb	BLENDPD	489
304	BLENDPD_XMMdq_XMMdq_IMMb	BLENDPD	489
305	BLENDPS_XMMdq_MEMdq_IMMb	BLENDPS	488
306	BLENDPS_XMMdq_XMMdq_IMMb	BLENDPS	488
307	BLENDVPD_XMMdq_MEMdq	BLENDVPD	456
308	BLENDVPD_XMMdq_XMMdq	BLENDVPD	456
309	BLENDVPS_XMMdq_MEMdq	BLENDVPS	455
310	BLENDVPS_XMMdq_XMMdq	BLENDVPS	455
311	BLSFILL_GPR32d_GPR32d	BLSFILL	1219
312	BLSFILL_GPR32d_MEMd	BLSFILL	1219
313	BLSFILL_GPRyy_GPRyy	BLSFILL	1219
314	BLSFILL_GPRyy_MEMy	BLSFILL	1219
315	BLSIC_GPR32d_GPR32d	BLSIC	1220
316	BLSIC_GPR32d_MEMd	BLSIC	1220
317	BLSIC_GPRyy_GPRyy	BLSIC	1220
318	BLSIC_GPRyy_MEMy	BLSIC	1220
319	BLSI_GPR32d_GPR32d	BLSI	686
320	BLSI_GPR32d_MEMd	BLSI	686
321	BLSI_GPR32i32_GPR32i32_APX	BLSI	686
322	BLSI_GPR32i32_GPR32i32_APX_N3	BLSI	686
323	BLSI_GPR32i32_MEMi32_APX	BLSI	686
324	BLSI_GPR32i32_MEMi32_APX_N3	BLSI	686
325	BLSI_GPR64i64_GPR64i64_APX	BLSI	686
326	BLSI_GPR64i64_GPR64i64_APX_N3	BLSI	686
327	BLSI_GPR64i64_MEMi64_APX	BLSI	686
328	BLSI_GPR64i64_MEMi64_APX_N3	BLSI	686
329	BLSI_GPR64q_GPR64q	BLSI	686
330	BLSI_GPR64q_MEMq	BLSI	686
331	BLSMSK_GPR32d_GPR32d	BLSMSK	687
332	BLSMSK_GPR32d_MEMd	BLSMSK	687
333	BLSMSK_GPR32i32_GPR32i32_APX	BLSMSK	687
334	BLSMSK_GPR32i32_GPR32i32_APX_N3	BLSMSK	687
335	BLSMSK_GPR32i32_MEMi32_APX	BLSMSK	687
336	BLSMSK_GPR32i32_MEMi32_APX_N3	BLSMSK	687
337	BLSMSK_GPR64i64_GPR64i64_APX	BLSMSK	687
338	BLSMSK_GPR64i64_GPR64i64_APX_N3	BLSMSK	687
339	BLSMSK_GPR64i64_MEMi64_APX	BLSMSK	687
340	BLSMSK_GPR64i64_MEMi64_APX_N3	BLSMSK	687
341	BLSMSK_GPR64q_GPR64q	BLSMSK	687
342	BLSMSK_GPR64q_MEMq	BLSMSK	687
343	BLSR_GPR32d_GPR32d	BLSR	688
344	BLSR_GPR32d_MEMd	BLSR	688
345	BLSR_GPR32i32_GPR32i32_APX	BLSR	688
346	BLSR_GPR32i32_GPR32i32_APX_N3	BLSR	688
347	BLSR_GPR32i32_MEMi32_APX	BLSR	688
348	BLSR_GPR32i32_MEMi32_APX_N3	BLSR	688
349	BLSR_GPR64i64_GPR64i64_APX	BLSR	688
350	BLSR_GPR64i64_GPR64i64_APX_N3	BLSR	688
351	BLSR_GPR64i64_MEMi64_APX	BLSR	688
352	BLSR_GPR64i64_MEMi64_APX_N3	BLSR	688
353	BLSR_GPR64q_GPR64q	BLSR	688
354	BLSR_GPR64q_MEMq	BLSR	688
355	BNDCL_BND_AGEN	BNDCL	1168
356	BNDCL_BND_GPR32	BNDCL	1168
357	BNDCL_BND_GPR64	BNDCL	1168
358	BNDCN_BND_AGEN	BNDCN	1170
359	BNDCN_BND_GPR32	BNDCN	1170
360	BNDCN_BND_GPR64	BNDCN	1170
361	BNDCU_BND_AGEN	BNDCU	1169
362	BNDCU_BND_GPR32	BNDCU	1169
363	BNDCU_BND_GPR64	BNDCU	1169
364	BNDLDX_BND_MEMbnd32	BNDLDX	1172
365	BNDLDX_BND_MEMbnd64	BNDLDX	1172
366	BNDMK_BND_AGEN	BNDMK	1167
367	BNDMOV_BND_BND	BNDMOV	1171
368	BNDMOV_BND_MEMdq	BNDMOV	1171
369	BNDMOV_BND_MEMq	BNDMOV	1171
370	BNDMOV_MEMdq_BND	BNDMOV	1171
371	BNDMOV_MEMq_BND	BNDMOV	1171
372	BNDSTX_MEMbnd32_BND	BNDSTX	1173
373	BNDSTX_MEMbnd64_BND	BNDSTX	1173
374	BOUND_GPR16_MEMa16	BOUND	1129
375	BOUND_GPR32_MEMa32	BOUND	1129
376	BSF_GPRv_GPRv	BSF	9
377	BSF_GPRv_MEMv	BSF	9
378	BSRINIT_BSR0	BSRINIT	1221
379	BSRMOVF_BSR0_ZMMu64_MEMu64	BSRMOVF	1222
380	BSRMOVF_BSR0_ZMMu64_ZMMu64	BSRMOVF	1222
381	BSRMOVH_BSR0_MEMu64	BSRMOVH	1223
382	BSRMOVH_BSR0_ZMMu64	BSRMOVH	1223
383	BSRMOVH_MEMu64_BSR0	BSRMOVH	1223
384	BSRMOVH_ZMMu64_BSR0	BSRMOVH	1223
385	BSRMOVL_BSR0_MEMu64	BSRMOVL	1224
386	BSRMOVL_BSR0_ZMMu64	BSRMOVL	1224
387	BSRMOVL_MEMu64_BSR0	BSRMOVL	1224
388	BSRMOVL_ZMMu64_BSR0	BSRMOVL	1224
389	BSR_GPRv_GPRv	BSR	10
390	BSR_GPRv_MEMv	BSR	10
391	BSWAP_GPRv	BSWAP	11
392	BTC_GPRv_GPRv	BTC	13
393	BTC_GPRv_IMMb	BTC	13
394	BTC_LOCK_MEMv_GPRv	BTC_LOCK	1225
395	BTC_LOCK_MEMv_IMMb	BTC_LOCK	1225
396	BTC_MEMv_GPRv	BTC	13
397	BTC_MEMv_IMMb	BTC	13
398	BTR_GPRv_GPRv	BTR	14
399	BTR_GPRv_IMMb	BTR	14
400	BTR_LOCK_MEMv_GPRv	BTR_LOCK	1226
401	BTR_LOCK_MEMv_IMMb	BTR_LOCK	1226
402	BTR_MEMv_GPRv	BTR	14
403	BTR_MEMv_IMMb	BTR	14
404	BTS_GPRv_GPRv	BTS	15
405	BTS_GPRv_IMMb	BTS	15
406	BTS_LOCK_MEMv_GPRv	BTS_LOCK	1227
407	BTS_LOCK_MEMv_IMMb	BTS_LOCK	1227
408	BTS_MEMv_GPRv	BTS	15
409	BTS_MEMv_IMMb	BTS	15
410	BT_GPRv_GPRv	BT	12
411	BT_GPRv_IMMb	BT	12
412	BT_MEMv_GPRv	BT	12
413	BT_MEMv_IMMb	BT	12
414	BZHI_GPR32d_GPR32d_GPR32d	BZHI	689
415	BZHI_GPR32d_MEMd_GPR32d	BZHI	689
416	BZHI_GPR32i32_GPR32i32_GPR32i32_APX	BZHI	689
417	BZHI_GPR32i32_GPR32i32_GPR32i32_APX_N3	BZHI	689
418	BZHI_GPR32i32_MEMi32_GPR32i32_APX	BZHI	689
419	BZHI_GPR32i32_MEMi32_GPR32i32_APX_N3	BZHI	689
420	BZHI_GPR64i64_GPR64i64_GPR64i64_APX	BZHI	689
421	BZHI_GPR64i64_GPR64i64_GPR64i64_APX_N3	BZHI	689
422	BZHI_GPR64i64_MEMi64_GPR64i64_APX	BZHI	689
423	BZHI_GPR64i64_MEMi64_GPR64i64_APX_N3	BZHI	689
424	BZHI_GPR64q_GPR64q_GPR64q	BZHI	689
425	BZHI_GPR64q_MEMq_GPR64q	BZHI	689
426	CALL_FAR_MEMp2	CALL_FAR	1228
427	CALL_FAR_PTRp_IMMw	CALL_FAR	1228
428	CALL_NEAR_GPRv	CALL_NEAR	1229
429	CALL_NEAR_MEMv	CALL_NEAR	1229
430	CALL_NEAR_RELBRd	CALL_NEAR	1229
431	CALL_NEAR_RELBRz	CALL_NEAR	1229
432	CBW	CBW	17
433	CCMPBE_GPR8i8_GPR8i8_DFV_APX_N3	CCMPBE	1231
434	CCMPBE_GPR8i8_IMM8_DFV_APX_N3	CCMPBE	1231
435	CCMPBE_GPR8i8_MEMi8_DFV_APX_N3	CCMPBE	1231
436	CCMPBE_GPRv_GPRv_DFV_APX_N3	CCMPBE	1231
437	CCMPBE_GPRv_IMM8_DFV_APX_N3	CCMPBE	1231
438	CCMPBE_GPRv_IMMz_DFV_APX_N3	CCMPBE	1231
439	CCMPBE_GPRv_MEMv_DFV_APX_N3	CCMPBE	1231
440	CCMPBE_MEMi8_GPR8i8_DFV_APX_N3	CCMPBE	1231
441	CCMPBE_MEMi8_IMM8_DFV_APX_N3	CCMPBE	1231
442	CCMPBE_MEMv_GPRv_DFV_APX_N3	CCMPBE	1231
443	CCMPBE_MEMv_IMM8_DFV_APX_N3	CCMPBE	1231
444	CCMPBE_MEMv_IMMz_DFV_APX_N3	CCMPBE	1231
445	CCMPB_GPR8i8_GPR8i8_DFV_APX_N3	CCMPB	1230
446	CCMPB_GPR8i8_IMM8_DFV_APX_N3	CCMPB	1230
447	CCMPB_GPR8i8_MEMi8_DFV_APX_N3	CCMPB	1230
448	CCMPB_GPRv_GPRv_DFV_APX_N3	CCMPB	1230
449	CCMPB_GPRv_IMM8_DFV_APX_N3	CCMPB	1230
450	CCMPB_GPRv_IMMz_DFV_APX_N3	CCMPB	1230
451	CCMPB_GPRv_MEMv_DFV_APX_N3	CCMPB	1230
452	CCMPB_MEMi8_GPR8i8_DFV_APX_N3	CCMPB	1230
453	CCMPB_MEMi8_IMM8_DFV_APX_N3	CCMPB	1230
454	CCMPB_MEMv_GPRv_DFV_APX_N3	CCMPB	1230
455	CCMPB_MEMv_IMM8_DFV_APX_N3	CCMPB	1230
456	CCMPB_MEMv_IMMz_DFV_APX_N3	CCMPB	1230
457	CCMPF_GPR8i8_GPR8i8_DFV_APX_N3	CCMPF	1232
458	CCMPF_GPR8i8_IMM8_DFV_APX_N3	CCMPF	1232
459	CCMPF_GPR8i8_MEMi8_DFV_APX_N3	CCMPF	1232
460	CCMPF_GPRv_GPRv_DFV_APX_N3	CCMPF	1232
461	CCMPF_GPRv_IMM8_DFV_APX_N3	CCMPF	1232
462	CCMPF_GPRv_IMMz_DFV_APX_N3	CCMPF	1232
463	CCMPF_GPRv_MEMv_DFV_APX_N3	CCMPF	1232
464	CCMPF_MEMi8_GPR8i8_DFV_APX_N3	CCMPF	1232
465	CCMPF_MEMi8_IMM8_DFV_APX_N3	CCMPF	1232
