descriptor_index	iform_id	name_id	group_id	decode_bit_id	decode_bitmap_index	decode_bitmap_mask	iclass	isa_set
3081	7514	1900	37	8	0	0x0000000000000100	VPMOVZXBQ	AVX
3082	7515	1900	37	8	0	0x0000000000000100	VPMOVZXBQ	AVX
3083	7520	1900	46	9	0	0x0000000000000200	VPMOVZXBQ	AVX2
3084	7521	1900	46	9	0	0x0000000000000200	VPMOVZXBQ	AVX2
3085	7544	1903	37	8	0	0x0000000000000100	VPMOVZXWD	AVX
3086	7545	1903	37	8	0	0x0000000000000100	VPMOVZXWD	AVX
3087	7550	1903	46	9	0	0x0000000000000200	VPMOVZXWD	AVX2
3088	7551	1903	46	9	0	0x0000000000000200	VPMOVZXWD	AVX2
3089	7554	1904	37	8	0	0x0000000000000100	VPMOVZXWQ	AVX
3090	7555	1904	37	8	0	0x0000000000000100	VPMOVZXWQ	AVX
3091	7560	1904	46	9	0	0x0000000000000200	VPMOVZXWQ	AVX2
3092	7561	1904	46	9	0	0x0000000000000200	VPMOVZXWQ	AVX2
3093	7534	1902	37	8	0	0x0000000000000100	VPMOVZXDQ	AVX
3094	7535	1902	37	8	0	0x0000000000000100	VPMOVZXDQ	AVX
3095	7540	1902	46	9	0	0x0000000000000200	VPMOVZXDQ	AVX2
3096	7541	1902	46	9	0	0x0000000000000200	VPMOVZXDQ	AVX2
3097	6780	1829	46	9	0	0x0000000000000200	VPERMD	AVX2
3098	6781	1829	46	9	0	0x0000000000000200	VPERMD	AVX2
3099	6502	1823	37	8	0	0x0000000000000100	VPCMPGTQ	AVX
3100	6503	1823	37	8	0	0x0000000000000100	VPCMPGTQ	AVX
3101	6504	1823	46	9	0	0x0000000000000200	VPCMPGTQ	AVX2
3102	6505	1823	46	9	0	0x0000000000000200	VPCMPGTQ	AVX2
3103	7232	1002	37	8	0	0x0000000000000100	VPMINSB	AVX
3104	7233	1002	37	8	0	0x0000000000000100	VPMINSB	AVX
3105	7238	1002	46	9	0	0x0000000000000200	VPMINSB	AVX2
3106	7239	1002	46	9	0	0x0000000000000200	VPMINSB	AVX2
3107	7242	1003	37	8	0	0x0000000000000100	VPMINSD	AVX
3108	7243	1003	37	8	0	0x0000000000000100	VPMINSD	AVX
3109	7248	1003	46	9	0	0x0000000000000200	VPMINSD	AVX2
3110	7249	1003	46	9	0	0x0000000000000200	VPMINSD	AVX2
3111	7294	1005	37	8	0	0x0000000000000100	VPMINUW	AVX
3112	7295	1005	37	8	0	0x0000000000000100	VPMINUW	AVX
3113	7298	1005	46	9	0	0x0000000000000200	VPMINUW	AVX2
3114	7299	1005	46	9	0	0x0000000000000200	VPMINUW	AVX2
3115	7278	1006	37	8	0	0x0000000000000100	VPMINUD	AVX
3116	7279	1006	37	8	0	0x0000000000000100	VPMINUD	AVX
3117	7282	1006	46	9	0	0x0000000000000200	VPMINUD	AVX2
3118	7283	1006	46	9	0	0x0000000000000200	VPMINUD	AVX2
3119	7160	1008	37	8	0	0x0000000000000100	VPMAXSB	AVX
3120	7161	1008	37	8	0	0x0000000000000100	VPMAXSB	AVX
3121	7166	1008	46	9	0	0x0000000000000200	VPMAXSB	AVX2
3122	7167	1008	46	9	0	0x0000000000000200	VPMAXSB	AVX2
3123	7170	1009	37	8	0	0x0000000000000100	VPMAXSD	AVX
3124	7171	1009	37	8	0	0x0000000000000100	VPMAXSD	AVX
3125	7176	1009	46	9	0	0x0000000000000200	VPMAXSD	AVX2
3126	7177	1009	46	9	0	0x0000000000000200	VPMAXSD	AVX2
3127	7222	1011	37	8	0	0x0000000000000100	VPMAXUW	AVX
3128	7223	1011	37	8	0	0x0000000000000100	VPMAXUW	AVX
3129	7226	1011	46	9	0	0x0000000000000200	VPMAXUW	AVX2
3130	7227	1011	46	9	0	0x0000000000000200	VPMAXUW	AVX2
3131	7206	1012	37	8	0	0x0000000000000100	VPMAXUD	AVX
3132	7207	1012	37	8	0	0x0000000000000100	VPMAXUD	AVX
3133	7210	1012	46	9	0	0x0000000000000200	VPMAXUD	AVX2
3134	7211	1012	46	9	0	0x0000000000000200	VPMAXUD	AVX2
3135	7604	1014	37	8	0	0x0000000000000100	VPMULLD	AVX
3136	7605	1014	37	8	0	0x0000000000000100	VPMULLD	AVX
3137	7608	1014	46	9	0	0x0000000000000200	VPMULLD	AVX2
3138	7609	1014	46	9	0	0x0000000000000200	VPMULLD	AVX2
3139	7040	1855	37	8	0	0x0000000000000100	VPHMINPOSUW	AVX
3140	7041	1855	37	8	0	0x0000000000000100	VPHMINPOSUW	AVX
3141	8135	1039	46	9	0	0x0000000000000200	VPSRLVD	AVX2
3142	8136	1039	46	9	0	0x0000000000000200	VPSRLVD	AVX2
3143	8139	1039	46	9	0	0x0000000000000200	VPSRLVD	AVX2
3144	8140	1039	46	9	0	0x0000000000000200	VPSRLVD	AVX2
3145	8145	1040	46	9	0	0x0000000000000200	VPSRLVQ	AVX2
3146	8146	1040	46	9	0	0x0000000000000200	VPSRLVQ	AVX2
3147	8149	1040	46	9	0	0x0000000000000200	VPSRLVQ	AVX2
3148	8150	1040	46	9	0	0x0000000000000200	VPSRLVQ	AVX2
3149	8051	1041	46	9	0	0x0000000000000200	VPSRAVD	AVX2
3150	8052	1041	46	9	0	0x0000000000000200	VPSRAVD	AVX2
3151	8055	1041	46	9	0	0x0000000000000200	VPSRAVD	AVX2
3152	8056	1041	46	9	0	0x0000000000000200	VPSRAVD	AVX2
3153	7977	1037	46	9	0	0x0000000000000200	VPSLLVD	AVX2
3154	7978	1037	46	9	0	0x0000000000000200	VPSLLVD	AVX2
3155	7981	1037	46	9	0	0x0000000000000200	VPSLLVD	AVX2
3156	7982	1037	46	9	0	0x0000000000000200	VPSLLVD	AVX2
3157	7987	1038	46	9	0	0x0000000000000200	VPSLLVQ	AVX2
3158	7988	1038	46	9	0	0x0000000000000200	VPSLLVQ	AVX2
3159	7991	1038	46	9	0	0x0000000000000200	VPSLLVQ	AVX2
3160	7992	1038	46	9	0	0x0000000000000200	VPSLLVQ	AVX2
3161	378	1221	116	64	1	0x0000000000000001	BSRINIT	ACE_1
3162	1577	719	120	68	1	0x0000000000000010	LDTILECFG	AMX_TILE_BASE
3163	3170	720	120	68	1	0x0000000000000010	STTILECFG	AMX_TILE_BASE
3164	3305	725	120	68	1	0x0000000000000010	TILERELEASE	AMX_TILE_BASE
