xed_index	iclass	macro_token	name_id	formatter_mnemonic	allocation	record_count
215	CVTSS2SI	CVTSS2SI	314	cvtss2si	existing	4
216	CVTTPD2DQ	CVTTPD2DQ	1311	cvttpd2dq	appended	2
217	CVTTPD2PI	CVTTPD2PI	1312	cvttpd2pi	appended	2
218	CVTTPS2DQ	CVTTPS2DQ	375	cvttps2dq	existing	2
219	CVTTPS2PI	CVTTPS2PI	312	cvttps2pi	existing	2
220	CVTTSD2SI	CVTTSD2SI	378	cvttsd2si	existing	4
221	CVTTSS2SI	CVTTSS2SI	315	cvttss2si	existing	4
222	CWD	CWD	49	cwd	existing	3
223	CWDE	CWDE	50	cwde	existing	3
224	DAA	DAA	51	daa	existing	1
225	DAS	DAS	52	das	existing	1
226	DEC	DEC	53	dec	existing	29
227	DEC_LOCK	DEC_LOCK	1313	dec_lock	appended	2
228	DIV	DIV	54	div	existing	16
229	DIVPD	DIVPD	359	divpd	existing	2
230	DIVPS	DIVPS	301	divps	existing	2
231	DIVSD	DIVSD	360	divsd	existing	2
232	DIVSS	DIVSS	302	divss	existing	2
233	DPPD	DPPD	498	dppd	existing	2
234	DPPS	DPPS	497	dpps	existing	2
235	EMMS	EMMS	55	emms	existing	1
236	ENCLS	ENCLS	1174	encls	existing	1
237	ENCLU	ENCLU	1175	enclu	existing	1
238	ENCLV	ENCLV	1176	enclv	existing	1
239	ENCODEKEY128	ENCODEKEY128	1314	encodekey128	appended	1
240	ENCODEKEY256	ENCODEKEY256	1315	encodekey256	appended	1
241	ENDBR32	ENDBR32	56	endbr32	existing	1
242	ENDBR64	ENDBR64	57	endbr64	existing	1
243	ENQCMD	ENQCMD	1184	enqcmd	existing	2
244	ENQCMDS	ENQCMDS	1185	enqcmds	existing	2
245	ENTER	ENTER	58	enter	existing	1
246	ERETS	ERETS	1316	erets	appended	1
247	ERETU	ERETU	1317	eretu	appended	1
248	EXTRACTPS	EXTRACTPS	493	extractps	existing	2
249	EXTRQ	EXTRQ	508	extrq	existing	2
250	F2XM1	F2XM1	510	f2xm1	existing	1
251	FABS	FABS	511	fabs	existing	1
252	FADD	FADD	512	fadd	existing	4
253	FADDP	FADDP	513	faddp	existing	1
254	FBLD	FBLD	514	fbld	existing	1
255	FBSTP	FBSTP	515	fbstp	existing	1
256	FCHS	FCHS	516	fchs	existing	1
257	FCMOVB	FCMOVB	518	fcmovb	existing	1
258	FCMOVBE	FCMOVBE	519	fcmovbe	existing	1
259	FCMOVE	FCMOVE	520	fcmove	existing	1
260	FCMOVNB	FCMOVNB	521	fcmovnb	existing	1
261	FCMOVNBE	FCMOVNBE	522	fcmovnbe	existing	1
262	FCMOVNE	FCMOVNE	523	fcmovne	existing	1
263	FCMOVNU	FCMOVNU	524	fcmovnu	existing	1
264	FCMOVU	FCMOVU	525	fcmovu	existing	1
265	FCOM	FCOM	526	fcom	existing	4
266	FCOMI	FCOMI	527	fcomi	existing	1
267	FCOMIP	FCOMIP	528	fcomip	existing	1
268	FCOMP	FCOMP	529	fcomp	existing	5
269	FCOMPP	FCOMPP	530	fcompp	existing	1
270	FCOS	FCOS	531	fcos	existing	1
271	FDECSTP	FDECSTP	532	fdecstp	existing	1
272	FDISI8087_NOP	FDISI8087_NOP	1318	fdisi8087_nop	appended	1
273	FDIV	FDIV	534	fdiv	existing	4
274	FDIVP	FDIVP	535	fdivp	existing	1
275	FDIVR	FDIVR	536	fdivr	existing	4
276	FDIVRP	FDIVRP	537	fdivrp	existing	1
277	FEMMS	FEMMS	241	femms	existing	1
278	FENI8087_NOP	FENI8087_NOP	1319	feni8087_nop	appended	1
279	FFREE	FFREE	539	ffree	existing	1
280	FFREEP	FFREEP	540	ffreep	existing	1
281	FIADD	FIADD	541	fiadd	existing	2
282	FICOM	FICOM	542	ficom	existing	2
283	FICOMP	FICOMP	543	ficomp	existing	2
284	FIDIV	FIDIV	544	fidiv	existing	2
285	FIDIVR	FIDIVR	545	fidivr	existing	2
286	FILD	FILD	546	fild	existing	3
287	FIMUL	FIMUL	547	fimul	existing	2
288	FINCSTP	FINCSTP	548	fincstp	existing	1
289	FIST	FIST	550	fist	existing	2
290	FISTP	FISTP	551	fistp	existing	3
291	FISTTP	FISTTP	552	fisttp	existing	3
292	FISUB	FISUB	553	fisub	existing	2
293	FISUBR	FISUBR	554	fisubr	existing	2
294	FLD	FLD	555	fld	existing	4
295	FLD1	FLD1	556	fld1	existing	1
296	FLDCW	FLDCW	557	fldcw	existing	1
297	FLDENV	FLDENV	558	fldenv	existing	7
298	FLDL2E	FLDL2E	559	fldl2e	existing	1
299	FLDL2T	FLDL2T	560	fldl2t	existing	1
300	FLDLG2	FLDLG2	561	fldlg2	existing	1
301	FLDLN2	FLDLN2	562	fldln2	existing	1
302	FLDPI	FLDPI	563	fldpi	existing	1
303	FLDZ	FLDZ	564	fldz	existing	1
304	FMUL	FMUL	565	fmul	existing	4
305	FMULP	FMULP	566	fmulp	existing	1
306	FNCLEX	FNCLEX	567	fnclex	existing	1
307	FNINIT	FNINIT	570	fninit	existing	1
308	FNOP	FNOP	571	fnop	existing	1
309	FNSAVE	FNSAVE	572	fnsave	existing	7
310	FNSTCW	FNSTCW	574	fnstcw	existing	1
311	FNSTENV	FNSTENV	575	fnstenv	existing	7
312	FNSTSW	FNSTSW	576	fnstsw	existing	2
313	FPATAN	FPATAN	577	fpatan	existing	1
314	FPREM	FPREM	578	fprem	existing	1
315	FPREM1	FPREM1	579	fprem1	existing	1
316	FPTAN	FPTAN	580	fptan	existing	1
317	FRNDINT	FRNDINT	581	frndint	existing	1
318	FRSTOR	FRSTOR	582	frstor	existing	7
319	FSCALE	FSCALE	584	fscale	existing	1
320	FSETPM287_NOP	FSETPM287_NOP	1320	fsetpm287_nop	appended	1
321	FSIN	FSIN	586	fsin	existing	1
322	FSINCOS	FSINCOS	587	fsincos	existing	1
323	FSQRT	FSQRT	588	fsqrt	existing	1
324	FST	FST	589	fst	existing	3
325	FSTP	FSTP	592	fstp	existing	6
326	FSTPNCE	FSTPNCE	609	fstpnce	existing	1
327	FSUB	FSUB	594	fsub	existing	4
328	FSUBP	FSUBP	595	fsubp	existing	1
329	FSUBR	FSUBR	596	fsubr	existing	4
330	FSUBRP	FSUBRP	597	fsubrp	existing	1
331	FTST	FTST	598	ftst	existing	1
332	FUCOM	FUCOM	599	fucom	existing	1
333	FUCOMI	FUCOMI	600	fucomi	existing	1
334	FUCOMIP	FUCOMIP	601	fucomip	existing	1
335	FUCOMP	FUCOMP	602	fucomp	existing	1
336	FUCOMPP	FUCOMPP	603	fucompp	existing	1
337	FWAIT	FWAIT	1321	fwait	appended	1
338	FXAM	FXAM	604	fxam	existing	1
339	FXCH	FXCH	605	fxch	existing	3
340	FXRSTOR	FXRSTOR	1141	fxrstor	existing	1
341	FXRSTOR64	FXRSTOR64	1142	fxrstor64	existing	1
342	FXSAVE	FXSAVE	1139	fxsave	existing	1
343	FXSAVE64	FXSAVE64	1140	fxsave64	existing	1
344	FXTRACT	FXTRACT	606	fxtract	existing	1
345	FYL2X	FYL2X	607	fyl2x	existing	1
346	FYL2XP1	FYL2XP1	608	fyl2xp1	existing	1
347	GETSEC	GETSEC	59	getsec	existing	1
348	GF2P8AFFINEINVQB	GF2P8AFFINEINVQB	1322	gf2p8affineinvqb	appended	2
349	GF2P8AFFINEQB	GF2P8AFFINEQB	1323	gf2p8affineqb	appended	2
350	GF2P8MULB	GF2P8MULB	1324	gf2p8mulb	appended	2
351	HADDPD	HADDPD	431	haddpd	existing	2
352	HADDPS	HADDPS	432	haddps	existing	2
353	HLT	HLT	60	hlt	existing	1
354	HRESET	HRESET	1325	hreset	appended	1
355	HSUBPD	HSUBPD	433	hsubpd	existing	2
356	HSUBPS	HSUBPS	434	hsubps	existing	2
357	IBHF	IBHF	1326	ibhf	appended	1
358	IDIV	IDIV	61	idiv	existing	16
359	IMUL	IMUL	62	imul	existing	70
360	IN	IN	63	in	existing	4
361	INC	INC	64	inc	existing	29
362	INCSSPD	INCSSPD	829	incsspd	existing	1
363	INCSSPQ	INCSSPQ	830	incsspq	existing	1
364	INC_LOCK	INC_LOCK	1327	inc_lock	appended	2
365	INSB	INSB	65	insb	existing	1
366	INSD	INSD	66	insd	existing	4
367	INSERTPS	INSERTPS	495	insertps	existing	2
368	INSERTQ	INSERTQ	509	insertq	existing	2
369	INSW	INSW	67	insw	existing	3
