descriptor_index	iform_id	iclass_id	encoding_space	map	opcode	opcode_hex	iclass	iform	isa_set	extension	category	pattern	pattern_digest	attributes	mode	easz	eosz	prefix	has_modrm	mod_required	reg_required	rm_required	partial_opcode	rexw	rex2	evex_pp	u_bit	vl	nd	nf	undocumented	cpuid_digest	operand_digest	record_digest	source_order
20	1889	131	legacy	0	10	0x0a	OR	OR_GPR8_GPR8_0A	I86	BASE	LOGICAL	0x0A MOD[0b11] MOD=3 REG[rrr] RM[nnn]	240f999b6dc422beda0cf188808c9bccc7e92e7b8bf756e53496ff1f7ddcd002	BYTEOP	16,32,64	16,32,64	8		True	3			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	1e32ccdc69cd666e8b2b859b25990f693525fbf1097a40494e979cdc4a065427	227cc3ceb5d57eb9e7879e1ea449daa360af393a61563ff3c181935da5a869a9	299
21	1892	131	legacy	0	10	0x0a	OR	OR_GPR8_MEMb	I86	BASE	LOGICAL	0x0A MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()	f8e195c005c6f8ef6d3d9b2cade13f595f1c11b3cd9dc716f09ead71ff607a7b	BYTEOP	16,32,64	16,32,64	8		True	0,1,2			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	273cbbcb799994754615266688f65d97db33969f181160ffffe2614d1b9015ad	42525e43414a002d106ce3f8315e6a4538bcc7bfeb823c189051ceb39aa5816e	298
22	1905	131	legacy	0	11	0x0b	OR	OR_GPRv_GPRv_0B	I86	BASE	LOGICAL	0x0B MOD[0b11] MOD=3 REG[rrr] RM[nnn]	ab4f7794ae6378ebdd70317e79983b7d7c94d93cc1c27b4f4a3a4bb3b0b91a05		16,32,64	16,32,64	16,32,64		True	3			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	7ded301073542a9d834e2e2ce5c201ede5212adc7fc88a601bd916711e5580c4	31f64e3201a912be261e15642803b061f92fa7528c6a59353dd17d789f1301d5	301
23	1918	131	legacy	0	11	0x0b	OR	OR_GPRv_MEMv	I86	BASE	LOGICAL	0x0B MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()	10ec8f69c70ac5d69dab48abbc47f6bdb16bbd84a84ba9d1907ff5a460a5dda4		16,32,64	16,32,64	16,32,64		True	0,1,2			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	af2a0ee58450ce5712b92b0f1db0f9fb9ee03e583bbf65f404c07a1548e7baee	7a3018aa245b56d14ccac020418da1d45dbe4afb0b0246a5c61e5a4c34b1bb3b	300
24	1887	131	legacy	0	12	0x0c	OR	OR_AL_IMMb	I86	BASE	LOGICAL	0x0C UIMM8()	57b246b14f0466ea60d21ad7e0612aa981cee657d092b9cbcfb6636163b029e9	BYTEOP	16,32,64	16,32,64	8		False				False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	fd23229ffb7c2fdb62b2b05943179c56f8ed4a09de2a66d0cfe2ba0070b24a9a	4863a97bc17ac1fd533e7b47e9cbef2668a3caded72e2926cc24f7b6c73383b7	302
25	1946	131	legacy	0	13	0x0d	OR	OR_OrAX_IMMz	I86	BASE	LOGICAL	0x0D SIMMz()	363f1b9173fa43302e7e9cf84fa6cfd49d476a93ec7ae85f2e7c9e2be3d37e9f		16,32,64	16,32,64	16,32,64		False				False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	cf0a489c48d517c7523359fd244afc4bc4936507ab73f894f6e3021e7f6fbd54	d4dd7e5e30056abda3c63801a6f40a7dccc8b8a0b6e704f62a9dc0c4e881853d	303
26	2476	142	legacy	0	14	0x0e	PUSH	PUSH_CS	I86	BASE	PUSH	0x0E MODE!=2	783807d56b5a37a1fd5425328c4df4fb1a4d797eaeaa89487eb3f84624d0497b		16,32	16,32,64	16,32,64		False				False		PROHIBITED		0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	381110ed179df7947fa3fa2246a27ed5482fe1bd66a30d676e2d8212b5542df6	75d60d18b5e8f982ee588afab049322dbc17471e6a3728d4075bfdc11171d1a3	1748
27	26	5	legacy	0	16	0x10	ADC	ADC_GPR8_GPR8_10	I86	BASE	BINARY	0x10 MOD[0b11] MOD=3 REG[rrr] RM[nnn]	a79b4356bda857a75d78286f45e846b09fb419259e6bc10adcb2de16592992fc	BYTEOP	16,32,64	16,32,64	8		True	3			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	c097217f9f35546cbf164e5dd32c92c23829f2357d7521d1524ef450e9edf109	cade488d68fb3dd0a1c169b84e1bb7210103301d7d0d0f4a841754d14a473cf4	407
28	61	5	legacy	0	16	0x10	ADC	ADC_MEMb_GPR8	I86	BASE	BINARY	0x10 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() LOCK=0	2779c0c13765a1c6b5b2a60b3154f67e7c1ce4c860a8cff1cc7f56f3889e145d	BYTEOP,LOCKABLE	16,32,64	16,32,64	8		True	0,1,2			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	59a62633cd8b4b56e35c329c0bc25bb0235bd5e3a83b86fe788e984bb766df98	4e13dc0aa06d90a1572b3f3a3a322afa29c6a1faf9b0ccf811342748dbb75abc	406
29	55	1200	legacy	0	16	0x10	ADC_LOCK	ADC_LOCK_MEMb_GPR8	I86	BASE	BINARY	0x10 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() LOCK=1	de62f776b3dcb4b03d366b4e032fee6e7cead2682aa6b293527f0e7984d0e722	BYTEOP,HLE_ACQ_ABLE,HLE_REL_ABLE,LOCKED	16,32,64	16,32,64	8		True	0,1,2			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	59a62633cd8b4b56e35c329c0bc25bb0235bd5e3a83b86fe788e984bb766df98	61488c1522fafe3b04fff9a20b83c6bebd4497f2993253f27bc31ffc012b3067	396
